itemid,label,abbreviation,category,param_type,concept_terms,candidate_role,total_records,nonmissing_records,missing_record_values,stay_id_count,subject_id_count,year_group_record_distribution,assessments_per_stay_min,assessments_per_stay_p25,assessments_per_stay_median,assessments_per_stay_p75,assessments_per_stay_max,assessments_per_stay_mean,stays_with_one_record,positive_records,negative_records,unable_or_deep_sedation_records,positive_record_percent,negative_record_percent,unable_or_deep_sedation_record_percent,missing_record_value_percent,interpretation_note
228332,Delirium assessment,Delirium assessment,Pain/Sedation,Text,delirium,direct_delirium_assessment,610632,610632,0,72944,51987,2008 - 2010:102312; 2011 - 2013:130492; 2014 - 2016:157818; 2017 - 2019:134620; 2020 - 2022:85390,1,3,5,9,499,8.371243693792499,6896,119052,361125,130455,19.497,59.14,21.364,0,Direct positive/negative/UTA delirium assessment item.
228300,CAM-ICU MS change,CAM-ICU MS change,Pain/Sedation,Text,CAM,cam_icu_component,6550,6550,0,1665,1450,2008 - 2010:2340; 2011 - 2013:4210,1,1,2,4,55,3.933933933933934,580,931,4213,1406,14.214,64.321,21.466,0,"CAM-ICU component, not a standalone delirium outcome unless combined by a prespecified rule."
228301,CAM-ICU Inattention,CAM-ICU Inattention,Pain/Sedation,Text,CAM,cam_icu_component,953,953,0,387,365,2008 - 2010:265; 2011 - 2013:688,1,1,1,3,28,2.462532299741602,205,615,338,0,64.533,35.467,0.0,0,"CAM-ICU component, not a standalone delirium outcome unless combined by a prespecified rule."
228302,CAM-ICU RASS LOC,CAM-ICU RASS LOC,Pain/Sedation,Text,CAM;RASS/Richmond,cam_icu_component,1116,1116,0,453,424,2008 - 2010:319; 2011 - 2013:797,1,1,1,3,30,2.4635761589403975,233,756,360,0,67.742,32.258,0.0,0,"CAM-ICU component, not a standalone delirium outcome unless combined by a prespecified rule."
228303,CAM-ICU Disorganized thinking,CAM-ICU Disorganized thinking,Pain/Sedation,Text,CAM,cam_icu_component,15383,15383,0,2142,1836,2008 - 2010:5221; 2011 - 2013:10162,1,2,4,7,96,7.181605975723623,382,319,15064,0,2.074,97.926,0.0,0,"CAM-ICU component, not a standalone delirium outcome unless combined by a prespecified rule."
228334,CAM-ICU Altered LOC,CAM-ICU Altered LOC,Pain/Sedation,Text,CAM,cam_icu_component,129056,129056,0,24096,19363,2008 - 2010:22116; 2011 - 2013:22702; 2014 - 2016:34422; 2017 - 2019:32488; 2020 - 2022:17328,1,1,3,6,186,5.355909694555113,7905,107833,21223,0,83.555,16.445,0.0,0,"CAM-ICU component, not a standalone delirium outcome unless combined by a prespecified rule."
228335,CAM-ICU Disorganized thinking,CAM-ICU Disorganized thinking,Pain/Sedation,Text,CAM,cam_icu_component,4280,4280,0,2265,2060,2008 - 2010:1045; 2011 - 2013:1978; 2014 - 2016:1257,1,1,1,2,27,1.8896247240618103,1418,2304,1155,821,53.832,26.986,19.182,0,"CAM-ICU component, not a standalone delirium outcome unless combined by a prespecified rule."
228336,CAM-ICU Inattention,CAM-ICU Inattention,Pain/Sedation,Text,CAM,cam_icu_component,42055,42055,0,9047,7503,2008 - 2010:9982; 2011 - 2013:19596; 2014 - 2016:12477,1,1,2,5,103,4.648502265944512,3128,29600,8214,4241,70.384,19.532,10.084,0,"CAM-ICU component, not a standalone delirium outcome unless combined by a prespecified rule."
228337,CAM-ICU MS Change,CAM-ICU MS Change,Pain/Sedation,Text,CAM,cam_icu_component,167750,167750,0,23703,17824,2008 - 2010:39596; 2011 - 2013:79248; 2014 - 2016:48906,1,2,4,8,221,7.077163228283339,2609,42872,110155,14723,25.557,65.666,8.777,0,"CAM-ICU component, not a standalone delirium outcome unless combined by a prespecified rule."
229324,CAM-ICU Disorganized thinking,CAM-ICU Disorganized thinking,Pain/Sedation,Text,CAM,cam_icu_component,13082,13082,0,6071,5273,2008 - 2010:1983; 2011 - 2013:1126; 2014 - 2016:3417; 2017 - 2019:4435; 2020 - 2022:2121,1,1,1,2,31,2.1548344589029815,3450,9628,3454,0,73.597,26.403,0.0,0,"CAM-ICU component, not a standalone delirium outcome unless combined by a prespecified rule."
229325,CAM-ICU Inattention,CAM-ICU Inattention,Pain/Sedation,Text,CAM,cam_icu_component,131316,131316,0,23940,18899,2008 - 2010:19725; 2011 - 2013:12039; 2014 - 2016:33981; 2017 - 2019:43564; 2020 - 2022:22007,1,1,3,6,193,5.485213032581454,7938,98112,24523,8681,74.714,18.675,6.611,0,"CAM-ICU component, not a standalone delirium outcome unless combined by a prespecified rule."
229326,CAM-ICU MS Change,CAM-ICU MS Change,Pain/Sedation,Text,CAM,cam_icu_component,343756,343756,0,46961,34336,2008 - 2010:49240; 2011 - 2013:32384; 2014 - 2016:84763; 2017 - 2019:115140; 2020 - 2022:62229,1,2,4,8,349,7.320031515512873,5441,134848,208908,0,39.228,60.772,0.0,0,"CAM-ICU component, not a standalone delirium outcome unless combined by a prespecified rule."
228096,Richmond-RAS Scale,Richmond-RAS Scale,Pain/Sedation,Text,RASS/Richmond,rass_sedation_scale,1656001,1656001,0,83575,58770,2008 - 2010:372109; 2011 - 2013:311904; 2014 - 2016:346819; 2017 - 2019:343457; 2020 - 2022:281712,1,6,10,21,1350,19.814549805563864,2200,0,0,186069,0.0,0.0,11.236,0,"Observed RASS. RASS <= -4 is a possible unable-to-assess state, not delirium."
228299,Goal Richmond-RAS Scale,Goal Richmond-RAS Scale,Pain/Sedation,Text,RASS/Richmond,rass_sedation_scale,1385305,1385305,0,76436,54087,2008 - 2010:216297; 2011 - 2013:267643; 2014 - 2016:319214; 2017 - 2019:316351; 2020 - 2022:265800,1,5,9,19,1344,18.12372442304673,2548,0,0,0,0.0,0.0,0.0,0,"Goal RASS, not observed sedation state."
226104,Level of Consciousness,Level of Consciousness,Neurological,Text,consciousness,consciousness_supporting_item,512624,512624,0,22372,16462,2008 - 2010:400349; 2011 - 2013:112275,1,6,12,24,760,22.913642052565706,327,0,0,0,0.0,0.0,0.0,0,Supporting or care-plan text; not sufficient as standalone delirium status.
228231,PAR-Consciousness,PAR-Consciousness,Routine Vital Signs,Text,consciousness,consciousness_supporting_item,16453,16453,0,6377,5952,2008 - 2010:2215; 2011 - 2013:5042; 2014 - 2016:4038; 2017 - 2019:2825; 2020 - 2022:2333,1,1,2,3,33,2.5800533166065547,2903,0,0,0,0.0,0.0,0.0,0,Supporting or care-plan text; not sufficient as standalone delirium status.
228688,Delirium,Delirium,MD Progress Note,Text,delirium,delirium_text_or_note,0,0,0,0,0,,,,,,,,,0,0,0,,,,,Supporting or care-plan text; not sufficient as standalone delirium status.
228973,Altered Mental Status  NCP - Expected outcomes,AMS NCP - Expected outcomes,Care Plans,Text,altered mental status,care_plan_altered_mental_status,697112,697112,0,14447,11793,2008 - 2010:98232; 2011 - 2013:81040; 2014 - 2016:177965; 2017 - 2019:193055; 2020 - 2022:146820,1,15,27,55,1575,48.253062919637294,29,0,0,0,0.0,0.0,0.0,0,Supporting or care-plan text; not sufficient as standalone delirium status.
228975,Altered Mental Status  NCP - Goal,AMS NCP - Goal,Care Plans,Text,altered mental status,care_plan_altered_mental_status,2230,2230,0,229,209,2008 - 2010:428; 2011 - 2013:1802,1,2,6,10,131,9.737991266375547,19,0,0,0,0.0,0.0,0.0,0,Supporting or care-plan text; not sufficient as standalone delirium status.
228977,Altered Mental Status  NCP - Interventions,AMS NCP - Interventions,Care Plans,Text,altered mental status,care_plan_altered_mental_status,1261163,1261163,0,14355,11699,2008 - 2010:177107; 2011 - 2013:141256; 2014 - 2016:325889; 2017 - 2019:349743; 2020 - 2022:267168,1,21,45,99,3090,87.85531173807036,21,0,0,0,0.0,0.0,0.0,0,Supporting or care-plan text; not sufficient as standalone delirium status.
228979,Altered Mental Status  NCP - outcomes met,AMS NCP - outcomes met,Care Plans,Text,altered mental status,care_plan_altered_mental_status,568,568,0,205,191,2008 - 2010:120; 2011 - 2013:448,1,1,2,3,31,2.770731707317073,93,0,0,0,0.0,0.0,0.0,0,Supporting or care-plan text; not sufficient as standalone delirium status.
229088,Altered Mental Status  NCP - Plan revised,AMS NCP - Plan revised,Care Plans,Text,altered mental status,care_plan_altered_mental_status,62075,62075,0,13813,11454,2008 - 2010:8672; 2011 - 2013:7017; 2014 - 2016:16062; 2017 - 2019:17085; 2020 - 2022:13239,1,1,3,5,121,4.493954969955839,3454,0,0,0,0.0,0.0,0.0,0,Supporting or care-plan text; not sufficient as standalone delirium status.
229089,Altered Mental Status  NCP - Problem resolved,AMS NCP - Problem resolved,Care Plans,Text,altered mental status,care_plan_altered_mental_status,154120,154120,0,13997,11416,2008 - 2010:21540; 2011 - 2013:16978; 2014 - 2016:40198; 2017 - 2019:42654; 2020 - 2022:32750,1,3,6,13,315,11.010930913767236,815,0,0,0,0.0,0.0,0.0,0,Supporting or care-plan text; not sufficient as standalone delirium status.
